형용사군,배색그룹id,단일색상 id,R,G,B,Hue,Saturation,Brightness,,
귀여운,1,1,251,210,164,31,34,98,,
귀여운,1,2,123,195,171,159,36,76,,
귀여운,1,3,255,228,36,52,85,100,,
귀여운,2,1,246,178,152,15,38,96,,
귀여운,2,2,246,235,102,55,58,96,,
귀여운,2,3,252,206,128,36,49,98,,
귀여운,3,1,168,200,39,70,80,78,,
귀여운,3,2,239,125,25,26,89,93,,
귀여운,3,3,242,229,0,56,100,94,,
맑은,1,1,191,223,209,152,14,87,,
맑은,1,2,255,255,255,152,0,100,,
맑은,1,3,225,225,221,59,1,88,,
맑은,2,1,202,227,206,128,10,89,, 
맑은,2,2,247,239,147,55,40,96,,
맑은,2,3,255,255,255,55,0,100,,
맑은,3,1,181,222,227,186,20,89,,
맑은,3,2,255,255,255,186,0,100,,
맑은,3,3,203,209,218,214,6,85,,
온화환,1,1,237,199,214,336,15,92,,
온화환,1,2,252,244,224,42,10,98,,
온화환,1,3,203,209,218,214,6,85,,
온화환,2,1,236,225,238,289,5,93,,
온화환,2,2,175,164,162,8,7,68,,
온화환,2,3,247,247,246,59,0,96,,
온화환,3,1,252,222,191,29,23,98,,
온화환,3,2,159,134,157,303,15,62,,
온화환,3,3,191,222,195,127,13,87,,
내츄럴한,1,1,166,195,127,84,34,76,,
내츄럴한,1,2,248,242,196,52,20,97,,
내츄럴한,1,3,201,188,130,48,35,78,,
내츄럴한,2,1,178,166,32,55,81,69,,
내츄럴한,2,2,247,236,115,53,53,96,,
내츄럴한,2,3,144,134,55,52,61,56,,
내츄럴한,3,1,242,229,0,56,100,94,,
내츄럴한,3,2,211,145,83,28,60,82,,
내츄럴한,3,3,129,122,52,53,59,50,,
내츄럴한,4,1,144,134,55,52,61,56,,
내츄럴한,4,2,247,247,246,59,0,96,,
내츄럴한,4,3,178,144,100,32,43,69,,
내츄럴한,5,1,102,108,84,74,21,42,,
내츄럴한,5,2,155,168,134,81,20,65,,
내츄럴한,5,3,89,110,39,77,64,43,,
